year,data,Id,subject,scale,grade
1,3,2008196,Biology,GCSE,C
1,3,2008201,Biology,GCSE,C
1,3,2008203,Biology,GCSE,C
1,3,2008212,Biology,GCSE,C
1,3,2008218,Biology,GCSE,C
1,3,2008221,Biology,GCSE,C
1,3,2008228,Biology,GCSE,C
1,3,3701,Biology,GCSE,C
1,3,3709,Biology,GCSE,C
1,3,2008043,Biology,GCSE,D
1,3,2008090,Biology,GCSE,D
1,3,2008129,Biology,GCSE,D
1,3,2008133,Biology,GCSE,D
1,3,2008166,Biology,GCSE,D
1,3,2008168,BTEC Music,BTEC,B
1,3,2008205,BTEC Music,BTEC,B
1,3,2008006,BTEC Music,BTEC,C
1,3,2008017,BTEC Music,BTEC,C
1,3,2008019,BTEC Music,BTEC,C
1,3,2008054,BTEC Music,BTEC,C
1,3,2008064,BTEC Music,BTEC,C
1,3,2008095,BTEC Music,BTEC,C
1,3,2008099,BTEC Music,BTEC,C
1,3,2008133,BTEC Music,BTEC,C
1,3,2008185,BTEC Music,BTEC,C
1,3,2008030,BTEC Music,BTEC,D
1,3,2008102,BTEC Music,BTEC,D
1,3,2008131,BTEC Music,BTEC,E
1,3,2008024,BTEC Science,BTEC,B
1,3,2008032,BTEC Science,BTEC,B
1,3,2008060,BTEC Science,BTEC,B
1,3,2008113,BTEC Science,BTEC,B
1,3,2008120,BTEC Science,BTEC,B
1,3,2008149,BTEC Science,BTEC,B
1,3,2008173,BTEC Science,BTEC,B
1,3,2008033,BTEC Science,BTEC,C
1,3,2008041,BTEC Science,BTEC,C
1,3,2008044,BTEC Science,BTEC,C
1,3,2008069,BTEC Science,BTEC,C
1,3,2008077,BTEC Science,BTEC,C
1,3,2008098,BTEC Science,BTEC,C
1,3,2008104,BTEC Science,BTEC,C
1,3,2008107,BTEC Science,BTEC,C
1,3,2008126,BTEC Science,BTEC,C
1,3,2008128,BTEC Science,BTEC,C
1,3,2008130,BTEC Science,BTEC,C
1,3,2008169,BTEC Science,BTEC,C
1,3,2008179,BTEC Science,BTEC,C
1,3,2008182,BTEC Science,BTEC,C
1,3,2008199,BTEC Science,BTEC,C
1,3,2008224,BTEC Science,BTEC,C
1,3,3710,BTEC Science,BTEC,C
1,3,3714,BTEC Science,BTEC,C
1,3,2008016,BTEC Science,BTEC,D
1,3,2008052,BTEC Science,BTEC,D
1,3,2008057,BTEC Science,BTEC,D
1,3,2008222,BTEC Science,BTEC,D
1,3,2008227,Business Studies,GCSE,A
1,3,3709,Business Studies,GCSE,A
1,3,2008028,Business Studies,GCSE,B
1,3,2008051,Business Studies,GCSE,B
1,3,2008061,Business Studies,GCSE,B
1,3,2008078,Business Studies,GCSE,B
1,3,2008127,Business Studies,GCSE,B
1,3,2008222,Business Studies,GCSE,B
1,3,3701,Business Studies,GCSE,B
1,3,2008001,Business Studies,GCSE,C
1,3,2008027,Business Studies,GCSE,C
1,3,2008031,Business Studies,GCSE,C
1,3,2008033,Business Studies,GCSE,C
1,3,2008069,Business Studies,GCSE,C
1,3,2008074,Business Studies,GCSE,C
1,3,2008076,Business Studies,GCSE,C
1,3,2008079,Business Studies,GCSE,C
1,3,2008091,Business Studies,GCSE,C
1,3,2008120,Business Studies,GCSE,C
1,3,2008121,Business Studies,GCSE,C
1,3,2008159,Business Studies,GCSE,C
1,3,2008169,Business Studies,GCSE,C
1,3,3707,Business Studies,GCSE,C
1,3,2008016,Business Studies,GCSE,D
1,3,2008086,Business Studies,GCSE,D
1,3,2008186,Business Studies,GCSE,D
1,3,2008015,Chemistry,GCSE,A
1,3,2008028,Chemistry,GCSE,A
1,3,2008048,Chemistry,GCSE,A
1,3,2008050,Chemistry,GCSE,A
1,3,2008058,Chemistry,GCSE,A
1,3,2008139,Chemistry,GCSE,A
1,3,2008200,Chemistry,GCSE,A
1,3,2008008,Chemistry,GCSE,B
1,3,2008010,Chemistry,GCSE,B
1,3,2008014,Chemistry,GCSE,B
1,3,2008023,Chemistry,GCSE,B
1,3,2008034,Chemistry,GCSE,B
1,3,2008049,Chemistry,GCSE,B
1,3,2008054,Chemistry,GCSE,B
1,3,2008055,Chemistry,GCSE,B
1,3,2008061,Chemistry,GCSE,B
1,3,2008064,Chemistry,GCSE,B
1,3,2008067,Chemistry,GCSE,B
1,3,2008072,Chemistry,GCSE,B
1,3,2008078,Chemistry,GCSE,B
1,3,2008083,Chemistry,GCSE,B
1,3,2008088,Chemistry,GCSE,B
1,3,2008097,Chemistry,GCSE,B
1,3,2008105,Chemistry,GCSE,B
1,3,2008106,Chemistry,GCSE,B
1,3,2008108,Chemistry,GCSE,B
1,3,2008114,Chemistry,GCSE,B
1,3,2008119,Chemistry,GCSE,B
1,3,2008124,Chemistry,GCSE,B
1,3,2008127,Chemistry,GCSE,B
1,3,2008136,Chemistry,GCSE,B
1,3,2008137,Chemistry,GCSE,B
1,3,2008140,Chemistry,GCSE,B
1,3,2008142,Chemistry,GCSE,B
1,3,2008145,Chemistry,GCSE,B
1,3,2008146,Chemistry,GCSE,B
1,3,2008147,Chemistry,GCSE,B
1,3,2008161,Chemistry,GCSE,B
1,3,2008163,Chemistry,GCSE,B
1,3,2008171,Chemistry,GCSE,B
1,3,2008184,Chemistry,GCSE,B
1,3,2008195,Chemistry,GCSE,B
1,3,2008196,Chemistry,GCSE,B
1,3,2008201,Chemistry,GCSE,B
1,3,2008205,Chemistry,GCSE,B
1,3,2008212,Chemistry,GCSE,B
1,3,2008215,Chemistry,GCSE,B
1,3,2008220,Chemistry,GCSE,B
1,3,2008226,Chemistry,GCSE,B
1,3,2008227,Chemistry,GCSE,B
1,3,3709,Chemistry,GCSE,B
1,3,2008004,Chemistry,GCSE,C
1,3,2008006,Chemistry,GCSE,C
1,3,2008007,Chemistry,GCSE,C
1,3,2008012,Chemistry,GCSE,C
1,3,2008017,Chemistry,GCSE,C
1,3,2008019,Chemistry,GCSE,C
1,3,2008020,Chemistry,GCSE,C
1,3,2008026,Chemistry,GCSE,C
1,3,2008027,Chemistry,GCSE,C
1,3,2008029,Chemistry,GCSE,C
1,3,2008035,Chemistry,GCSE,C
1,3,2008037,Chemistry,GCSE,C
1,3,2008046,Chemistry,GCSE,C
1,3,2008047,Chemistry,GCSE,C
1,3,2008051,Chemistry,GCSE,C
1,3,2008053,Chemistry,GCSE,C
1,3,2008059,Chemistry,GCSE,C
1,3,2008065,Chemistry,GCSE,C
1,3,2008068,Chemistry,GCSE,C
1,3,2008074,Chemistry,GCSE,C
1,3,2008076,Chemistry,GCSE,C
1,3,2008079,Chemistry,GCSE,C
1,3,2008091,Chemistry,GCSE,C
1,3,2008094,Chemistry,GCSE,C
1,3,2008101,Chemistry,GCSE,C
1,3,2008110,Chemistry,GCSE,C
1,3,2008115,Chemistry,GCSE,C
1,3,2008116,Chemistry,GCSE,C
1,3,2008125,Chemistry,GCSE,C
1,3,2008133,Chemistry,GCSE,C
1,3,2008144,Chemistry,GCSE,C
1,3,2008151,Chemistry,GCSE,C
1,3,2008155,Chemistry,GCSE,C
1,3,2008156,Chemistry,GCSE,C
1,3,2008157,Chemistry,GCSE,C
1,3,2008158,Chemistry,GCSE,C
1,3,2008162,Chemistry,GCSE,C
1,3,2008166,Chemistry,GCSE,C
1,3,2008168,Chemistry,GCSE,C
1,3,2008177,Chemistry,GCSE,C
1,3,2008178,Chemistry,GCSE,C
1,3,2008180,Chemistry,GCSE,C
1,3,2008185,Chemistry,GCSE,C
1,3,2008187,Chemistry,GCSE,C
1,3,2008189,Chemistry,GCSE,C
1,3,2008194,Chemistry,GCSE,C
1,3,2008203,Chemistry,GCSE,C
1,3,2008214,Chemistry,GCSE,C
1,3,2008221,Chemistry,GCSE,C
1,3,2008228,Chemistry,GCSE,C
1,3,3701,Chemistry,GCSE,C
1,3,2008043,Chemistry,GCSE,D
1,3,2008090,Chemistry,GCSE,D
1,3,2008099,Chemistry,GCSE,D
1,3,2008121,Chemistry,GCSE,D
1,3,2008129,Chemistry,GCSE,D
1,3,2008218,Chemistry,GCSE,D
1,3,2008110,Child Care,BTEC,B
1,3,2008194,Child Care,BTEC,B
1,3,2008215,Child Care,BTEC,B
1,3,2008044,Child Care,BTEC,C
1,3,2008056,Child Care,BTEC,C
1,3,2008082,Child Care,BTEC,C
1,3,2008090,Child Care,BTEC,C
1,3,2008107,Child Care,BTEC,C
1,3,2008152,Child Care,BTEC,C
1,3,2008167,Child Care,BTEC,C
1,3,2008176,Child Care,BTEC,C
1,3,2008213,Child Care,BTEC,C
1,3,2008214,Child Care,BTEC,C
1,3,2008221,Child Care,BTEC,C
1,3,2008231,Child Care,BTEC,C
1,3,2008001,Core Science,GCSE,C
1,3,2008013,Core Science,GCSE,C
1,3,2008040,Core Science,GCSE,C
1,3,2008131,Core Science,GCSE,C
1,3,2008183,Core Science,GCSE,C
1,3,2008188,Core Science,GCSE,C
1,3,2008193,Core Science,GCSE,C
1,3,2008207,Core Science,GCSE,C
1,3,2008209,Core Science,GCSE,C
1,3,2008231,Core Science,GCSE,C
1,3,3700,Core Science,GCSE,C
1,3,2008022,Core Science,GCSE,D
1,3,2008030,Core Science,GCSE,D
1,3,2008031,Core Science,GCSE,D
1,3,2008039,Core Science,GCSE,D
1,3,2008080,Core Science,GCSE,D
1,3,2008082,Core Science,GCSE,D
1,3,2008092,Core Science,GCSE,D
1,3,2008095,Core Science,GCSE,D
1,3,2008109,Core Science,GCSE,D
1,3,2008111,Core Science,GCSE,D
1,3,2008123,Core Science,GCSE,D
1,3,2008148,Core Science,GCSE,D
1,3,2008152,Core Science,GCSE,D
1,3,2008154,Core Science,GCSE,D
1,3,2008159,Core Science,GCSE,D
1,3,2008160,Core Science,GCSE,D
1,3,2008165,Core Science,GCSE,D
1,3,2008167,Core Science,GCSE,D
1,3,2008170,Core Science,GCSE,D
1,3,2008176,Core Science,GCSE,D
1,3,2008186,Core Science,GCSE,D
1,3,2008223,Core Science,GCSE,D
1,3,2008225,Core Science,GCSE,D
1,3,3642,Core Science,GCSE,D
1,3,2008002,Core Science,GCSE,E
1,3,2008009,Core Science,GCSE,E
1,3,2008011,Core Science,GCSE,E
1,3,2008062,Core Science,GCSE,E
1,3,2008081,Core Science,GCSE,E
1,3,2008084,Core Science,GCSE,E
1,3,2008086,Core Science,GCSE,E
1,3,2008102,Core Science,GCSE,E
1,3,2008134,Core Science,GCSE,E
1,3,2008143,Core Science,GCSE,E
1,3,2008150,Core Science,GCSE,E
1,3,2008153,Core Science,GCSE,E
1,3,2008174,Core Science,GCSE,E
1,3,2008191,Core Science,GCSE,E
1,3,2008192,Core Science,GCSE,E
1,3,2008197,Core Science,GCSE,E
1,3,2008204,Core Science,GCSE,E
1,3,2008208,Core Science,GCSE,E
1,3,2008211,Core Science,GCSE,E
1,3,2008229,Core Science,GCSE,E
1,3,3707,Core Science,GCSE,E
1,3,2008003,Core Science,GCSE,F
1,3,2008070,Core Science,GCSE,F
1,3,2008103,Core Science,GCSE,F
1,3,2008117,Core Science,GCSE,F
1,3,2008138,Core Science,GCSE,F
1,3,2008175,Core Science,GCSE,F
1,3,2008198,Core Science,GCSE,F
1,3,2008206,Core Science,GCSE,F
1,3,2008216,Core Science,GCSE,F
1,3,2008217,Core Science,GCSE,F
1,3,2008219,Core Science,GCSE,F
1,3,3691,Core Science,GCSE,F
1,3,2008164,Core Science,GCSE,G
1,3,2008137,Drama,GCSE,A
1,3,2008200,Drama,GCSE,A
1,3,2008015,Drama,GCSE,B
1,3,2008017,Drama,GCSE,B
1,3,2008067,Drama,GCSE,B
1,3,2008136,Drama,GCSE,B
1,3,2008151,Drama,GCSE,B
1,3,2008157,Drama,GCSE,B
1,3,2008171,Drama,GCSE,B
1,3,2008185,Drama,GCSE,B
1,3,2008205,Drama,GCSE,B
1,3,2008209,Drama,GCSE,B
1,3,3714,Drama,GCSE,B
1,3,2008065,Drama,GCSE,C
1,3,2008068,Drama,GCSE,C
1,3,2008101,Drama,GCSE,C
1,3,2008104,Drama,GCSE,C
1,3,2008116,Drama,GCSE,C
1,3,2008123,Drama,GCSE,C
1,3,2008189,Drama,GCSE,C
1,3,3701,Drama,GCSE,C
1,3,2008026,Drama,GCSE,D
1,3,2008081,Drama,GCSE,D
1,3,2008092,Drama,GCSE,D
1,3,2008138,Drama,GCSE,D
1,3,2008160,Drama,GCSE,D
1,3,2008217,Drama,GCSE,D
1,3,2008221,Drama,GCSE,D
1,3,2008015,English,GCSE,A
1,3,2008020,English,GCSE,A
1,3,2008028,English,GCSE,A
1,3,2008029,English,GCSE,A
1,3,2008034,English,GCSE,A
1,3,2008048,English,GCSE,A
1,3,2008049,English,GCSE,A
1,3,2008050,English,GCSE,A
1,3,2008072,English,GCSE,A
1,3,2008094,English,GCSE,A
1,3,2008101,English,GCSE,A
1,3,2008105,English,GCSE,A
1,3,2008110,English,GCSE,A
1,3,2008114,English,GCSE,A
1,3,2008115,English,GCSE,A
1,3,2008119,English,GCSE,A
1,3,2008124,English,GCSE,A
1,3,2008136,English,GCSE,A
1,3,2008139,English,GCSE,A
1,3,2008140,English,GCSE,A
1,3,2008144,English,GCSE,A
1,3,2008145,English,GCSE,A
1,3,2008146,English,GCSE,A
1,3,2008151,English,GCSE,A
1,3,2008157,English,GCSE,A
1,3,2008163,English,GCSE,A
1,3,2008168,English,GCSE,A
1,3,2008177,English,GCSE,A
1,3,2008178,English,GCSE,A
1,3,2008180,English,GCSE,A
1,3,2008185,English,GCSE,A
1,3,2008189,English,GCSE,A
1,3,2008195,English,GCSE,A
1,3,2008200,English,GCSE,A
1,3,2008201,English,GCSE,A
1,3,2008220,English,GCSE,A
1,3,2008227,English,GCSE,A
1,3,3709,English,GCSE,A
1,3,2008055,English,GCSE,A*
1,3,2008058,English,GCSE,A*
1,3,2008001,English,GCSE,B
1,3,2008004,English,GCSE,B
1,3,2008008,English,GCSE,B
1,3,2008010,English,GCSE,B
1,3,2008012,English,GCSE,B
1,3,2008014,English,GCSE,B
