2008010,Art,b10ART-2
2008010,Biology,b10TSC-G
2008010,Chemistry,b10TSC-G
2008010,English,b10ENG-YG
2008010,English Literature,b10ENG-YG
2008010,Information Communication Technology,b10ICT-3
2008010,Maths,b10MA-YMAN
2008010,Physics,b10TSC-G
2008010,Religious Studies,b10RS-YG
2008010,Sports Studies,b10SPO-1
2008010,Technology Textiles,b10TEXT-Y1
2008011,Core Science,b10CSC-H
2008011,English,b10ENG-YH
2008011,English Literature,b10ENG-YH
2008011,Information Communication Technology,b10ICT-5
2008011,Maths,b10MA-YFIB
2008011,Religious Studies,b10RS-YH
2008011,Sports Studies,b10SPO-1
2008011,Vehicle Maintenance and Repair,b10VMR
2008012,Biology,b10TSC-G
2008012,Chemistry,b10TSC-G
2008012,English,b10ENG-YH
2008012,English Literature,b10ENG-YH
2008012,Geography,b10GEOG-3
2008012,History,b10HIST-1a
2008012,Maths,b10MA-YEUL
2008012,Physics,b10TSC-G
2008012,Religious Studies,b10RS-YH
2008012,Sports Studies,b10SPO-2
2008012,Technology Product Design,b10PD-Y2
2008013,Core Science,b10CSC-H
2008013,English,b10ENG-XB
2008013,English Literature,b10ENG-XB
2008013,Maths,b10MA-XMAN
2008013,Media Studies,b10MS-1
2008013,Religious Studies,b10RS-XB
2008013,Technology Product Design,b10PD-Y1
2008013,Vehicle Maintenance and Repair,b10VMR
2008014,Biology,b10TSC-F
2008014,Chemistry,b10TSC-F
2008014,English,b10ENG-YJ
2008014,English Literature,b10ENG-YJ
2008014,FMA Performing Engineering Operations,b10FMA
2008014,History,b10HIST-1a
2008014,Maths,b10MA-YEUL
2008014,Media Studies,b10MS-2
2008014,Physics,b10TSC-F
2008014,Religious Studies,b10RS-YJ
2008015,Biology,b10TSC-B
2008015,Chemistry,b10TSC-B
2008015,Drama,b10DRA-3
2008015,English,b10ENG-YI
2008015,English Literature,b10ENG-YI
2008015,History,b10HIST-1a
2008015,Information Communication Technology,b10ICT-2
2008015,Maths,b10MA-YGAU
2008015,Physics,b10TSC-B
2008015,Religious Studies,b10RS-YI
2008015,Technology Textiles,b10TEXT-X1
2008016,Basic Construction Skills,b10CONS
2008016,BTEC Science,b10BSC-E
2008016,Business Studies,b10BST
2008016,English,b10ENG-XB
2008016,English Literature,b10ENG-XB
2008016,Maths,b10MA-XEUL
2008016,Religious Studies,b10RS-XB
2008016,Sports Studies,b10SPO-3
2008016,Technology Product Design,b10PD-X1
2008017,Biology,b10TSC-F
2008017,BTEC Music,b10BTMUS
2008017,Chemistry,b10TSC-F
2008017,Drama,b10DRA-3
2008017,English,b10ENG-XB
2008017,English Literature,b10ENG-XB
2008017,German,b10GER-1
2008017,Maths,b10MA-XEUL
2008017,Physics,b10TSC-F
2008017,Religious Studies,b10RS-XB
2008017,Technology Product Design,b10PD-Y2
2008019,Art,b10ART-3
2008019,Biology,b10TSC-A
